Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'2801,彰銀,17.45,17.4,17.5,17.3,10036274
2022-12-02,'2801,彰銀,17.2,17.3,17.35,17.2,4514953
2022-12-05,'2801,彰銀,17.3,17.4,17.45,17.3,6870006
2022-12-06,'2801,彰銀,17.35,17.2,17.4,17.1,7767619
2022-12-07,'2801,彰銀,17.35,17.5,17.55,17.2,19481846
2022-12-08,'2801,彰銀,17.4,17.3,17.4,17.2,4790805
2022-12-09,'2801,彰銀,17.4,17.45,17.45,17.25,4197985
2022-12-12,'2801,彰銀,17.4,17.45,17.45,17.3,2485346
2022-12-13,'2801,彰銀,17.4,17.35,17.45,17.25,8338545
2022-12-14,'2801,彰銀,17.45,17.45,17.5,17.35,6303744
2022-12-15,'2801,彰銀,17.45,17.35,17.45,17.3,3346135
2022-12-16,'2801,彰銀,17.2,17.35,17.35,17.2,10989165
2022-12-19,'2801,彰銀,17.15,17.3,17.3,17.15,4835339
2022-12-20,'2801,彰銀,17.2,17.25,17.3,17.15,4304899
2022-12-21,'2801,彰銀,17.3,17.25,17.3,17.15,2874661
2022-12-22,'2801,彰銀,17.3,17.3,17.35,17.2,2767020
2022-12-23,'2801,彰銀,17.15,17.25,17.3,17.15,2565668
2022-12-26,'2801,彰銀,17.3,17.3,17.35,17.25,1541193
2022-12-27,'2801,彰銀,17.3,17.35,17.4,17.25,1830787
2022-12-28,'2801,彰銀,17.25,17.25,17.3,17.2,2280318
2022-12-29,'2801,彰銀,17.15,17.15,17.2,17.05,5768770
2022-12-30,'2801,彰銀,17.1,17.15,17.25,17.1,2406998
2023-01-03,'2801,彰銀,17.1,17.25,17.25,17.05,2766394
2023-01-04,'2801,彰銀,17.25,17.2,17.3,17.2,3280894
2023-01-05,'2801,彰銀,17.2,17.35,17.35,17.2,2856644
2023-01-06,'2801,彰銀,17.35,17.4,17.4,17.25,2384442
2023-01-09,'2801,彰銀,17.45,17.5,17.5,17.35,9374342
2023-01-10,'2801,彰銀,17.5,17.55,17.55,17.45,8454661
2023-01-11,'2801,彰銀,17.5,17.5,17.55,17.4,4448326
2023-01-12,'2801,彰銀,17.5,17.45,17.5,17.4,3996052
2023-01-13,'2801,彰銀,17.5,17.5,17.55,17.45,4017739
2023-01-16,'2801,彰銀,17.5,17.6,17.6,17.5,6292721
2023-01-17,'2801,彰銀,17.55,17.6,17.6,17.5,5602873
2023-01-30,'2801,彰銀,17.7,17.7,17.75,17.55,17121672
2023-01-31,'2801,彰銀,17.7,17.6,17.7,17.55,6658573
2023-02-01,'2801,彰銀,17.6,17.6,17.65,17.45,5415124
2023-02-02,'2801,彰銀,17.7,17.45,17.7,17.45,7129102
2023-02-03,'2801,彰銀,17.4,17.45,17.5,17.4,2583000
2023-02-06,'2801,彰銀,17.4,17.3,17.45,17.3,5209168
2023-02-07,'2801,彰銀,17.35,17.4,17.45,17.3,4669911
2023-02-08,'2801,彰銀,17.35,17.3,17.4,17.3,4614386
2023-02-09,'2801,彰銀,17.3,17.3,17.4,17.3,2808711
2023-02-10,'2801,彰銀,17.3,17.3,17.35,17.2,6291171
2023-02-13,'2801,彰銀,17.3,17.25,17.35,17.2,5777262
2023-02-14,'2801,彰銀,17.35,17.3,17.4,17.25,7672461
2023-02-15,'2801,彰銀,17.35,17.25,17.4,17.25,6014924
2023-02-16,'2801,彰銀,17.3,17.3,17.4,17.3,4452824
2023-02-17,'2801,彰銀,17.3,17.45,17.45,17.3,4125670
2023-02-20,'2801,彰銀,17.4,17.55,17.55,17.4,3938187
2023-02-21,'2801,彰銀,17.5,17.55,17.55,17.45,2737324
2023-02-22,'2801,彰銀,17.5,17.45,17.5,17.35,4538569
2023-02-23,'2801,彰銀,17.5,17.5,17.55,17.45,3715798
2023-02-24,'2801,彰銀,17.55,17.45,17.55,17.45,6298102
2023-03-01,'2801,彰銀,17.4,17.5,17.55,17.4,5318092
2023-03-02,'2801,彰銀,17.5,17.4,17.5,17.35,3795352
2023-03-03,'2801,彰銀,17.45,17.45,17.5,17.3,4995960
2023-03-06,'2801,彰銀,17.5,17.5,17.55,17.45,5027488
2023-03-07,'2801,彰銀,17.5,17.55,17.55,17.45,3467440
2023-03-08,'2801,彰銀,17.5,17.45,17.55,17.45,4636516
2023-03-09,'2801,彰銀,17.45,17.55,17.55,17.4,5331839
2023-03-10,'2801,彰銀,17.4,17.35,17.45,17.3,8517133
2023-03-13,'2801,彰銀,17.3,17.3,17.35,17.2,4543046
2023-03-14,'2801,彰銀,17.2,17.15,17.25,17.1,8841013
2023-03-15,'2801,彰銀,17.2,17.05,17.2,17.05,8321344
2023-03-16,'2801,彰銀,17.0,17.0,17.05,16.9,8963223
2023-03-17,'2801,彰銀,17.0,16.95,17.05,16.95,8357566
