Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'2207,和泰車,652.0,643.0,660.0,635.0,218252
2022-12-02,'2207,和泰車,649.0,638.0,649.0,636.0,95122
2022-12-05,'2207,和泰車,636.0,630.0,636.0,625.0,214533
2022-12-06,'2207,和泰車,631.0,634.0,635.0,619.0,275443
2022-12-07,'2207,和泰車,626.0,634.0,636.0,623.0,252834
2022-12-08,'2207,和泰車,626.0,619.0,628.0,617.0,331611
2022-12-09,'2207,和泰車,624.0,624.0,624.0,615.0,177604
2022-12-12,'2207,和泰車,616.0,611.0,617.0,608.0,150098
2022-12-13,'2207,和泰車,616.0,599.0,616.0,595.0,398766
2022-12-14,'2207,和泰車,612.0,629.0,629.0,607.0,339979
2022-12-15,'2207,和泰車,626.0,613.0,626.0,612.0,156096
2022-12-16,'2207,和泰車,600.0,595.0,603.0,595.0,527142
2022-12-19,'2207,和泰車,581.0,595.0,595.0,581.0,148631
2022-12-20,'2207,和泰車,589.0,587.0,594.0,586.0,191755
2022-12-21,'2207,和泰車,587.0,585.0,598.0,585.0,173064
2022-12-22,'2207,和泰車,589.0,596.0,596.0,588.0,121628
2022-12-23,'2207,和泰車,585.0,592.0,592.0,583.0,113363
2022-12-26,'2207,和泰車,590.0,598.0,598.0,586.0,53392
2022-12-27,'2207,和泰車,598.0,602.0,604.0,597.0,87665
2022-12-28,'2207,和泰車,597.0,592.0,597.0,591.0,99219
2022-12-29,'2207,和泰車,589.0,586.0,596.0,583.0,347229
2022-12-30,'2207,和泰車,590.0,588.0,595.0,588.0,72377
2023-01-03,'2207,和泰車,585.0,592.0,592.0,574.0,165470
2023-01-04,'2207,和泰車,583.0,598.0,598.0,583.0,127730
2023-01-05,'2207,和泰車,599.0,603.0,603.0,597.0,144579
2023-01-06,'2207,和泰車,602.0,611.0,612.0,599.0,192103
2023-01-09,'2207,和泰車,623.0,630.0,630.0,617.0,408909
2023-01-10,'2207,和泰車,632.0,637.0,637.0,628.0,256303
2023-01-11,'2207,和泰車,637.0,621.0,638.0,621.0,289634
2023-01-12,'2207,和泰車,620.0,620.0,625.0,617.0,148109
2023-01-13,'2207,和泰車,620.0,624.0,631.0,615.0,140871
2023-01-16,'2207,和泰車,626.0,627.0,631.0,622.0,182485
2023-01-17,'2207,和泰車,625.0,626.0,633.0,622.0,220030
2023-01-30,'2207,和泰車,655.0,661.0,664.0,637.0,1057346
2023-01-31,'2207,和泰車,651.0,656.0,660.0,648.0,546896
2023-02-01,'2207,和泰車,630.0,663.0,666.0,626.0,732885
2023-02-02,'2207,和泰車,665.0,655.0,665.0,648.0,276244
2023-02-03,'2207,和泰車,646.0,657.0,658.0,646.0,153041
2023-02-06,'2207,和泰車,652.0,647.0,660.0,646.0,193347
2023-02-07,'2207,和泰車,650.0,636.0,652.0,635.0,186643
