Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'2892,第一金,26.55,26.2,26.55,26.05,14523376
2022-12-02,'2892,第一金,26.0,25.85,26.1,25.8,13065283
2022-12-05,'2892,第一金,25.8,25.9,26.0,25.7,11393392
2022-12-06,'2892,第一金,25.8,25.9,26.2,25.8,23646146
2022-12-07,'2892,第一金,26.0,26.15,26.45,25.9,18313019
2022-12-08,'2892,第一金,26.3,26.3,26.3,26.0,9759367
2022-12-09,'2892,第一金,26.2,26.2,26.45,26.15,12734623
2022-12-12,'2892,第一金,26.3,26.4,26.4,26.1,12979559
2022-12-13,'2892,第一金,26.4,26.0,26.45,25.95,21738389
2022-12-14,'2892,第一金,26.35,26.35,26.45,26.15,12229064
2022-12-15,'2892,第一金,26.2,26.4,26.45,26.15,7662916
2022-12-16,'2892,第一金,26.1,26.2,26.45,26.1,17951432
2022-12-19,'2892,第一金,26.05,26.3,26.35,26.05,10886368
2022-12-20,'2892,第一金,26.1,26.3,26.45,26.1,10850690
2022-12-21,'2892,第一金,26.3,26.3,26.35,26.15,8700972
2022-12-22,'2892,第一金,26.25,26.4,26.4,26.2,6799393
2022-12-23,'2892,第一金,26.2,26.3,26.35,26.15,6392387
2022-12-26,'2892,第一金,26.25,26.4,26.4,26.2,5395529
2022-12-27,'2892,第一金,26.4,26.5,26.6,26.35,6156886
2022-12-28,'2892,第一金,26.45,26.25,26.45,26.2,6439713
2022-12-29,'2892,第一金,26.15,26.1,26.3,25.9,15335254
2022-12-30,'2892,第一金,26.25,26.5,26.6,26.2,14249034
2023-01-03,'2892,第一金,26.4,26.3,26.45,26.0,17051046
2023-01-04,'2892,第一金,26.15,26.25,26.3,26.15,8491759
2023-01-05,'2892,第一金,26.25,26.5,26.5,26.2,13536102
2023-01-06,'2892,第一金,26.5,26.5,26.55,26.4,9305379
2023-01-09,'2892,第一金,26.8,27.0,27.0,26.7,24147606
2023-01-10,'2892,第一金,26.95,27.1,27.15,26.8,15588347
2023-01-11,'2892,第一金,27.05,26.8,27.15,26.6,22996863
2023-01-12,'2892,第一金,26.8,26.45,26.8,26.35,22057983
2023-01-13,'2892,第一金,26.6,26.45,26.7,26.35,12464628
2023-01-16,'2892,第一金,26.55,26.7,26.8,26.5,14565650
2023-01-17,'2892,第一金,26.75,26.75,26.85,26.6,15803583
2023-01-30,'2892,第一金,27.05,26.9,27.2,26.4,55330369
2023-01-31,'2892,第一金,26.85,26.1,26.85,26.1,53849286
2023-02-01,'2892,第一金,26.2,26.3,26.3,26.0,22462403
2023-02-02,'2892,第一金,26.3,26.15,26.3,26.05,23427468
2023-02-03,'2892,第一金,26.1,26.2,26.25,26.05,16439024
2023-02-06,'2892,第一金,26.1,26.05,26.2,26.0,17491343
2023-02-07,'2892,第一金,26.05,26.1,26.2,26.05,11271256
2023-02-08,'2892,第一金,26.15,26.1,26.25,26.1,8455659
2023-02-09,'2892,第一金,26.1,26.15,26.2,26.05,11657185
2023-02-10,'2892,第一金,26.1,26.35,26.4,26.1,14052849
2023-02-13,'2892,第一金,26.35,26.6,26.6,26.2,14303667
2023-02-14,'2892,第一金,26.65,26.7,26.7,26.5,15949805
2023-02-15,'2892,第一金,26.6,26.45,26.6,26.35,14057049
2023-02-16,'2892,第一金,26.5,26.55,26.7,26.45,14777211
2023-02-17,'2892,第一金,26.5,26.5,26.7,26.4,16805947
2023-02-20,'2892,第一金,26.55,26.75,26.9,26.5,15594346
2023-02-21,'2892,第一金,26.7,26.7,26.8,26.6,10215989
2023-02-22,'2892,第一金,26.6,26.95,26.95,26.5,20473707
2023-02-23,'2892,第一金,26.95,27.05,27.1,26.85,18408715
2023-02-24,'2892,第一金,27.0,26.8,27.05,26.8,58138477
2023-03-01,'2892,第一金,26.45,26.6,26.65,26.45,33872947
2023-03-02,'2892,第一金,26.65,26.3,26.65,26.25,22543114
2023-03-03,'2892,第一金,26.35,26.35,26.45,26.25,17618925
2023-03-06,'2892,第一金,26.5,26.45,26.65,26.35,18334278
2023-03-07,'2892,第一金,26.6,26.7,26.75,26.5,7673198
2023-03-08,'2892,第一金,26.7,26.75,26.8,26.55,10707966
2023-03-09,'2892,第一金,26.7,26.65,26.75,26.5,14995099
2023-03-10,'2892,第一金,26.4,26.35,26.45,26.35,15601528
2023-03-13,'2892,第一金,26.25,26.25,26.35,26.1,22768475
2023-03-14,'2892,第一金,26.15,26.0,26.2,26.0,23614573
2023-03-15,'2892,第一金,26.15,25.9,26.2,25.9,17869415
