Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,''1303,南亞,77.70,77.60,78.60,77.30,10587340
2022-12-02,''1303,南亞,77.50,77.10,77.90,77.00,6534938
2022-12-05,''1303,南亞,77.20,76.70,78.10,76.70,7592939
2022-12-06,''1303,南亞,76.60,75.80,77.00,75.40,8013859
2022-12-07,''1303,南亞,75.60,75.20,76.10,75.10,9545985
2022-12-08,''1303,南亞,74.60,73.30,75.10,73.30,10590585
2022-12-09,''1303,南亞,73.40,73.50,74.30,73.40,9506996
2022-12-12,''1303,南亞,73.50,73.30,73.60,72.20,8071324
2022-12-13,''1303,南亞,73.50,72.60,73.60,72.50,8716028
2022-12-14,''1303,南亞,73.50,73.90,74.60,73.00,8159226
2022-12-15,''1303,南亞,73.60,74.10,74.70,73.40,6109934
2022-12-16,''1303,南亞,72.70,72.50,73.90,72.50,26971481
2022-12-19,''1303,南亞,72.00,71.50,72.60,71.30,16936356
2022-12-20,''1303,南亞,71.10,70.30,72.10,70.30,17178167
2022-12-21,''1303,南亞,70.10,70.50,71.10,70.10,15357626
2022-12-22,''1303,南亞,71.10,71.40,71.40,70.50,14484930
2022-12-23,''1303,南亞,70.40,70.30,70.90,70.30,4616159
2022-12-26,''1303,南亞,70.40,71.40,71.40,70.40,2968226
2022-12-27,''1303,南亞,71.50,71.70,72.10,71.40,2554668
2022-12-28,''1303,南亞,70.90,71.40,71.90,70.60,3581905
2022-12-29,''1303,南亞,70.80,70.40,71.30,70.20,5839581
2022-12-30,''1303,南亞,70.80,71.00,71.70,70.80,3480994
2023-01-03,''1303,南亞,70.40,71.90,71.90,70.10,4595459
2023-01-04,''1303,南亞,71.90,71.50,71.90,71.20,2502972
2023-01-05,''1303,南亞,71.50,72.10,72.40,71.50,3064968
2023-01-06,''1303,南亞,72.10,72.80,73.00,71.80,3366416
2023-01-09,''1303,南亞,73.90,74.80,74.80,73.20,10440455
2023-01-10,''1303,南亞,74.90,74.50,74.90,73.70,5820995
2023-01-11,''1303,南亞,73.40,74.00,74.20,73.20,5434887
2023-01-12,''1303,南亞,74.10,74.30,74.40,74.00,3559129
2023-01-13,''1303,南亞,73.20,74.30,74.80,73.20,4304025
2023-01-16,''1303,南亞,74.70,74.70,75.30,74.40,4152850
2023-01-17,''1303,南亞,74.70,75.00,75.10,74.10,5656776
2023-01-30,''1303,南亞,76.50,77.00,77.00,74.90,14080975
2023-01-31,''1303,南亞,76.40,75.40,76.80,75.10,8064106
2023-02-01,''1303,南亞,75.20,75.40,75.80,74.90,4657350
2023-02-02,''1303,南亞,74.60,75.20,75.40,74.20,7234968
2023-02-03,''1303,南亞,74.70,74.60,74.90,74.30,3487340
2023-02-06,''1303,南亞,74.10,74.40,75.20,74.10,4382079
2023-02-07,''1303,南亞,74.80,75.30,75.70,74.80,4477293
2023-02-08,''1303,南亞,75.00,74.70,75.30,74.70,3247545
2023-02-09,''1303,南亞,74.40,74.80,75.10,74.40,2340666
2023-02-10,''1303,南亞,74.20,74.40,74.90,74.20,3015307
2023-02-13,''1303,南亞,74.50,75.30,75.40,74.00,4084427
2023-02-14,''1303,南亞,75.50,75.50,76.00,75.30,2299323
2023-02-15,''1303,南亞,75.80,74.70,75.90,74.40,3914708
2023-02-16,''1303,南亞,75.20,75.40,75.70,75.00,3450126
2023-02-17,''1303,南亞,75.00,75.70,75.70,74.90,3045676
2023-02-20,''1303,南亞,75.20,75.80,75.80,75.20,1737635
2023-02-21,''1303,南亞,75.80,76.00,76.00,75.40,1999262
2023-02-22,''1303,南亞,75.40,76.00,76.10,74.90,3752217
2023-02-23,''1303,南亞,76.20,76.10,76.60,75.60,4216620
2023-02-24,''1303,南亞,76.40,75.60,76.60,75.60,7708508
2023-03-01,''1303,南亞,74.50,74.70,75.30,74.50,5764792
2023-03-02,''1303,南亞,74.70,75.10,75.50,74.20,3922823
2023-03-03,''1303,南亞,75.60,75.10,75.60,75.00,1561654
2023-03-06,''1303,南亞,75.90,75.70,76.40,75.20,3941816
2023-03-07,''1303,南亞,75.70,76.20,76.20,75.50,3442315
2023-03-08,''1303,南亞,75.70,76.10,76.10,75.20,4742205
2023-03-09,''1303,南亞,75.60,74.60,75.70,74.60,6557145
2023-03-10,''1303,南亞,73.80,74.00,74.50,73.70,8007048
2023-03-13,''1303,南亞,74.20,74.70,75.10,73.60,5465470
2023-03-14,''1303,南亞,73.60,74.10,74.90,73.60,6529867
2023-03-15,''1303,南亞,73.80,74.50,75.10,73.80,5352355
2023-03-16,''1303,南亞,74.50,74.90,75.00,74.00,4989667
2023-03-17,''1303,南亞,74.90,76.50,76.50,74.80,12078236
2023-03-20,''1303,南亞,76.40,75.40,76.40,75.30,2968403
2023-03-21,''1303,南亞,75.60,75.50,76.00,75.40,1829099
2023-03-22,''1303,南亞,75.70,75.90,76.20,75.20,3299710
2023-03-23,''1303,南亞,76.20,76.60,76.80,75.50,4365690
2023-03-24,''1303,南亞,77.00,76.80,77.00,76.20,4092386
2023-03-27,''1303,南亞,76.80,77.30,77.50,76.60,4161020
2023-03-28,''1303,南亞,77.50,77.20,77.70,76.80,3999625
2023-03-29,''1303,南亞,77.50,78.00,78.00,77.40,4893359
2023-03-30,''1303,南亞,78.00,78.00,78.10,77.30,4039327
2023-03-31,''1303,南亞,78.00,77.50,78.10,77.40,5377207
2023-04-06,''1303,南亞,78.00,77.30,78.00,76.60,4271037
2023-04-07,''1303,南亞,77.60,77.50,77.70,77.10,2401165
2023-04-10,''1303,南亞,77.60,77.70,78.00,77.10,3000987
2023-04-11,''1303,南亞,77.80,77.90,78.20,77.50,5290984
2023-04-12,''1303,南亞,77.80,77.90,78.00,77.50,4650534
2023-04-13,''1303,南亞,78.00,77.90,78.20,77.40,4574473
2023-04-14,''1303,南亞,77.40,77.90,77.90,77.30,4171251
2023-04-17,''1303,南亞,78.00,77.70,78.00,77.50,3293436
2023-04-18,''1303,南亞,77.50,77.90,77.90,77.00,3335465
2023-04-19,''1303,南亞,77.90,77.00,78.00,76.70,3780267
2023-04-20,''1303,南亞,76.50,77.00,77.30,76.20,3218955
2023-04-21,''1303,南亞,77.50,77.90,77.90,77.10,7352487
2023-04-24,''1303,南亞,77.70,78.00,78.30,77.50,7962047
2023-04-25,''1303,南亞,78.10,77.40,78.20,76.90,7380749
2023-04-26,''1303,南亞,77.50,78.00,78.00,77.30,7117499
2023-04-27,''1303,南亞,77.60,77.70,78.00,77.30,7052201
2023-04-28,''1303,南亞,78.20,78.00,78.20,77.50,5387060
2023-05-02,''1303,南亞,78.00,77.50,78.10,77.10,4427046
2023-05-03,''1303,南亞,77.50,77.10,77.60,77.00,2726828
2023-05-04,''1303,南亞,77.50,77.60,77.80,77.20,3088053
2023-05-05,''1303,南亞,77.90,77.50,77.90,77.20,2421212
2023-05-08,''1303,南亞,77.70,77.70,77.90,77.40,3539856
2023-05-09,''1303,南亞,77.90,78.50,78.50,77.50,4578859
2023-05-10,''1303,南亞,78.40,77.50,78.40,77.10,3784930
2023-05-11,''1303,南亞,77.50,77.70,77.80,77.20,2552158
2023-05-12,''1303,南亞,77.50,77.30,77.50,76.70,3682261
2023-05-15,''1303,南亞,76.70,77.70,78.00,76.70,3196488
2023-05-16,''1303,南亞,78.30,78.80,78.90,77.70,6609774
2023-05-17,''1303,南亞,78.70,79.90,80.20,78.40,10796566
2023-05-18,''1303,南亞,80.00,80.20,80.80,79.90,8391281
2023-05-19,''1303,南亞,80.20,80.60,80.60,80.00,6754229
2023-05-22,''1303,南亞,80.50,80.70,81.00,80.00,6245764
2023-05-23,''1303,南亞,81.00,80.70,81.20,80.00,5991968
2023-05-24,''1303,南亞,80.80,80.90,80.90,80.10,4849381
2023-05-25,''1303,南亞,80.30,79.60,80.90,79.60,5747904
2023-05-26,''1303,南亞,78.50,78.80,79.10,77.60,6566638
2023-05-29,''1303,南亞,79.00,78.40,79.40,78.40,5111712
2023-05-30,''1303,南亞,78.40,78.10,79.30,78.10,7393316
2023-05-31,''1303,南亞,78.70,77.70,78.90,77.70,14967758
2023-06-01,''1303,南亞,78.30,77.60,78.40,77.60,4739328
2023-06-02,''1303,南亞,78.20,78.10,78.60,77.70,5895484
2023-06-05,''1303,南亞,78.20,78.70,78.90,78.20,2894208
2023-06-06,''1303,南亞,78.80,79.20,79.80,78.60,5366921
2023-06-07,''1303,南亞,79.60,79.50,79.80,79.00,4879724
2023-06-08,''1303,南亞,79.60,79.30,79.80,79.10,2560803
2023-06-09,''1303,南亞,79.70,79.90,80.00,79.30,3774366
2023-06-12,''1303,南亞,79.90,79.70,80.00,79.50,2363858
2023-06-13,''1303,南亞,79.50,79.20,79.90,79.20,5242802
2023-06-14,''1303,南亞,79.20,79.20,79.90,79.10,3728042
2023-06-15,''1303,南亞,79.30,79.40,79.80,78.70,3935931
2023-06-16,''1303,南亞,79.40,80.10,80.40,79.20,12152911
2023-06-19,''1303,南亞,79.40,79.00,79.70,79.00,3049798
2023-06-20,''1303,南亞,79.20,78.50,79.30,78.20,4868460
2023-06-21,''1303,南亞,78.50,78.60,78.60,77.90,4947074
2023-06-26,''1303,南亞,78.90,78.00,78.90,77.70,5914443
2023-06-27,''1303,南亞,77.70,77.10,77.90,77.10,5144966
2023-06-28,''1303,南亞,76.80,76.10,76.80,75.80,8269981
2023-06-29,''1303,南亞,73.50,72.80,73.90,72.80,9597470
2023-06-30,''1303,南亞,72.50,72.50,73.20,72.30,6592620
2023-07-03,''1303,南亞,72.50,72.10,73.00,72.10,4146089
2023-07-04,''1303,南亞,71.90,70.90,71.90,70.80,8691657
2023-07-05,''1303,南亞,70.90,70.80,71.40,70.50,5583115
2023-07-06,''1303,南亞,70.40,69.20,70.60,69.00,12312887
2023-07-07,''1303,南亞,69.00,68.70,69.50,68.50,7035905
2023-07-10,''1303,南亞,68.50,69.00,69.40,68.50,6377025
2023-07-11,''1303,南亞,69.10,69.60,70.10,69.10,4867208
2023-07-12,''1303,南亞,69.00,69.40,69.60,68.80,6948942
2023-07-13,''1303,南亞,69.60,69.90,70.30,69.60,5325223
