Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'2610,華航,18.4,18.0,18.5,17.9,69317620
2022-12-02,'2610,華航,17.85,17.9,18.2,17.85,30865122
2022-12-05,'2610,華航,18.0,18.9,18.95,17.9,116446845
2022-12-06,'2610,華航,18.95,18.95,19.75,18.7,172437691
2022-12-07,'2610,華航,19.0,19.3,19.5,18.8,116483867
2022-12-08,'2610,華航,19.35,19.3,19.7,19.25,77130601
2022-12-09,'2610,華航,19.5,19.65,19.9,19.4,82553435
2022-12-12,'2610,華航,19.7,19.3,19.9,19.25,66940036
2022-12-13,'2610,華航,19.5,19.1,19.55,18.9,52221566
2022-12-14,'2610,華航,19.15,19.25,19.25,19.0,35787018
2022-12-15,'2610,華航,19.25,19.6,19.75,19.15,64264668
2022-12-16,'2610,華航,19.4,19.3,19.6,19.25,53046970
2022-12-19,'2610,華航,19.2,18.9,19.35,18.9,38608086
2022-12-20,'2610,華航,19.0,18.15,19.1,18.1,52807512
2022-12-21,'2610,華航,18.3,18.75,18.85,18.3,29283175
2022-12-22,'2610,華航,19.1,19.3,19.55,18.95,62914235
2022-12-23,'2610,華航,19.1,19.0,19.2,18.9,26392033
2022-12-26,'2610,華航,19.1,19.1,19.4,18.95,26352726
2022-12-27,'2610,華航,19.8,19.35,20.15,19.25,126421384
2022-12-28,'2610,華航,19.2,19.1,19.45,19.05,38023353
2022-12-29,'2610,華航,18.9,19.0,19.1,18.6,41879297
2022-12-30,'2610,華航,19.25,19.0,19.3,19.0,20837222
2023-01-03,'2610,華航,18.9,18.9,19.1,18.7,27118327
2023-01-04,'2610,華航,19.0,18.8,19.15,18.75,20747672
2023-01-05,'2610,華航,18.95,18.65,19.1,18.65,26337843
2023-01-06,'2610,華航,18.75,18.95,19.0,18.65,15357569
2023-01-09,'2610,華航,19.25,19.0,19.4,18.9,42238753
2023-01-10,'2610,華航,19.05,19.1,19.2,18.95,19382993
2023-01-11,'2610,華航,19.2,19.15,19.55,19.15,55460793
2023-01-12,'2610,華航,19.2,19.05,19.3,19.05,16609340
2023-01-13,'2610,華航,19.25,19.15,19.3,19.1,28876649
2023-01-16,'2610,華航,19.3,19.05,19.35,19.05,23324878
2023-01-17,'2610,華航,19.1,18.95,19.25,18.9,28336747
2023-01-30,'2610,華航,19.25,19.35,19.4,19.1,39350202
2023-01-31,'2610,華航,19.2,19.4,19.5,19.2,27024527
2023-02-01,'2610,華航,19.5,19.75,19.9,19.4,71535021
2023-02-02,'2610,華航,20.0,19.85,20.0,19.55,49878538
2023-02-03,'2610,華航,19.85,19.6,19.9,19.6,24951703
2023-02-06,'2610,華航,19.5,19.6,19.8,19.4,22984324
2023-02-07,'2610,華航,19.65,19.3,19.75,19.25,38587662
2023-02-08,'2610,華航,19.4,19.25,19.45,19.2,22042920
2023-02-09,'2610,華航,19.25,19.2,19.45,19.2,15494797
2023-02-10,'2610,華航,19.15,18.85,19.25,18.85,32045363
2023-02-13,'2610,華航,19.0,18.9,19.25,18.9,28516761
2023-02-14,'2610,華航,19.1,19.55,19.55,19.05,62772772
2023-02-15,'2610,華航,19.4,19.5,19.7,19.35,40270573
2023-02-16,'2610,華航,19.7,21.0,21.3,19.65,261250359
2023-02-17,'2610,華航,21.05,21.0,21.45,20.8,142820941
2023-02-20,'2610,華航,21.2,21.3,21.75,21.0,129210544
2023-02-21,'2610,華航,21.35,20.8,21.45,20.55,86716053
2023-02-22,'2610,華航,20.5,20.5,20.55,20.3,41964179
2023-02-23,'2610,華航,20.6,20.5,20.75,20.45,38301811
2023-02-24,'2610,華航,20.65,20.3,20.7,20.3,36388466
2023-03-01,'2610,華航,20.3,20.1,20.35,19.95,33202889
2023-03-02,'2610,華航,20.1,20.3,20.4,20.1,18493152
2023-03-03,'2610,華航,20.5,20.3,20.55,20.3,16364928
2023-03-06,'2610,華航,20.55,20.3,20.55,20.25,20175428
2023-03-07,'2610,華航,20.35,20.3,20.4,20.25,13493549
2023-03-08,'2610,華航,20.3,20.25,20.35,20.15,17847512
2023-03-09,'2610,華航,20.4,20.9,21.1,20.2,81408145
2023-03-10,'2610,華航,20.85,20.05,20.85,19.5,116523483
2023-03-13,'2610,華航,19.9,19.95,20.05,19.6,43878189
2023-03-14,'2610,華航,19.75,19.2,19.85,19.2,75342041
2023-03-15,'2610,華航,19.4,19.4,19.7,19.3,50404990
2023-03-16,'2610,華航,19.2,19.0,19.35,19.0,31228589
2023-03-17,'2610,華航,19.2,19.0,19.3,18.95,36001977
2023-03-20,'2610,華航,19.05,19.25,19.3,19.0,17154995
2023-03-21,'2610,華航,19.25,19.1,19.4,19.1,22239905
2023-03-22,'2610,華航,19.25,19.25,19.45,19.15,25538390
2023-03-23,'2610,華航,19.2,19.3,19.4,19.15,14854795
2023-03-24,'2610,華航,19.35,19.3,19.4,19.2,19182112
2023-03-27,'2610,華航,19.3,19.15,19.4,19.1,16967617
2023-03-28,'2610,華航,19.2,19.25,19.65,19.2,28835735
2023-03-29,'2610,華航,19.45,19.7,19.9,19.45,41931269
2023-03-30,'2610,華航,19.85,19.5,19.95,19.45,23589121
2023-03-31,'2610,華航,19.6,19.5,19.65,19.45,16496279
2023-04-06,'2610,華航,19.55,19.25,19.55,19.15,18140129
2023-04-07,'2610,華航,19.4,19.35,19.45,19.25,9756020
2023-04-10,'2610,華航,19.45,19.3,19.5,19.3,11802498
2023-04-11,'2610,華航,19.4,19.4,19.5,19.3,9054917
2023-04-12,'2610,華航,19.45,19.35,19.5,19.3,11632213
2023-04-13,'2610,華航,19.75,19.8,20.2,19.6,97926307
2023-04-14,'2610,華航,19.95,19.8,20.0,19.6,34689840
