Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'2882,國泰金,44.05,44.15,44.5,43.75,49865769
2022-12-02,'2882,國泰金,43.9,44.0,44.3,43.75,33156714
2022-12-05,'2882,國泰金,43.25,42.85,43.25,42.75,49252970
2022-12-06,'2882,國泰金,42.6,41.4,42.65,41.4,39675523
2022-12-07,'2882,國泰金,41.4,41.4,42.1,41.25,32120950
2022-12-08,'2882,國泰金,41.2,40.75,41.45,40.7,29765268
2022-12-09,'2882,國泰金,41.1,41.1,41.4,40.8,26745816
2022-12-12,'2882,國泰金,40.9,41.0,41.15,40.15,33949558
2022-12-13,'2882,國泰金,41.0,40.95,41.35,40.8,21769329
2022-12-14,'2882,國泰金,40.95,40.9,41.2,40.8,18207326
2022-12-15,'2882,國泰金,40.8,40.6,40.8,40.35,20002544
2022-12-16,'2882,國泰金,40.1,40.2,40.5,40.05,35454139
2022-12-19,'2882,國泰金,40.1,40.15,40.6,40.05,22037150
2022-12-20,'2882,國泰金,40.1,40.15,40.25,39.9,32549548
2022-12-21,'2882,國泰金,39.95,40.0,40.15,39.85,18449393
2022-12-22,'2882,國泰金,40.05,40.4,40.4,39.95,19181690
2022-12-23,'2882,國泰金,40.35,41.15,41.5,40.3,33981856
2022-12-26,'2882,國泰金,41.15,41.0,41.2,40.9,9586592
2022-12-27,'2882,國泰金,41.0,41.15,41.3,41.0,8308875
2022-12-28,'2882,國泰金,40.85,40.65,41.1,40.6,16443155
2022-12-29,'2882,國泰金,40.5,40.1,40.6,40.05,17280672
2022-12-30,'2882,國泰金,39.75,40.0,40.25,39.6,102514909
2023-01-03,'2882,國泰金,40.0,39.95,40.1,39.75,39554220
2023-01-04,'2882,國泰金,39.95,39.95,40.1,39.95,22272766
2023-01-05,'2882,國泰金,40.1,40.25,40.35,40.0,36853762
2023-01-06,'2882,國泰金,40.2,40.75,40.8,40.15,23615484
2023-01-09,'2882,國泰金,41.15,42.0,42.0,41.15,53179748
2023-01-10,'2882,國泰金,41.95,41.7,41.95,41.4,21435050
2023-01-11,'2882,國泰金,41.6,41.4,41.7,41.4,16048346
2023-01-12,'2882,國泰金,41.7,41.7,41.9,41.6,17927376
2023-01-13,'2882,國泰金,41.85,41.8,42.3,41.75,25246308
2023-01-16,'2882,國泰金,42.0,41.75,42.1,41.7,24240014
2023-01-17,'2882,國泰金,41.8,42.0,42.1,41.6,30131381
2023-01-30,'2882,國泰金,42.95,42.7,43.15,42.2,47216810
2023-01-31,'2882,國泰金,42.7,42.55,42.8,42.45,34054874
2023-02-01,'2882,國泰金,42.8,43.0,43.0,42.65,30294161
2023-02-02,'2882,國泰金,43.45,44.05,44.3,43.4,46455741
2023-02-03,'2882,國泰金,44.2,43.3,44.2,43.25,26131633
2023-02-06,'2882,國泰金,43.15,42.65,43.2,42.6,23945724
2023-02-07,'2882,國泰金,42.9,42.8,43.2,42.7,14924425
2023-02-08,'2882,國泰金,42.9,42.85,43.0,42.7,12667108
2023-02-09,'2882,國泰金,42.55,42.6,42.8,42.5,11215474
2023-02-10,'2882,國泰金,42.5,42.65,42.8,42.35,13913641
2023-02-13,'2882,國泰金,42.55,42.9,42.95,42.25,11654400
2023-02-14,'2882,國泰金,43.2,43.6,43.75,42.95,21608876
2023-02-15,'2882,國泰金,43.55,42.95,43.7,42.8,23924878
2023-02-16,'2882,國泰金,43.1,43.05,43.25,42.85,13275864
2023-02-17,'2882,國泰金,43.4,44.0,44.05,43.35,33063140
2023-02-20,'2882,國泰金,44.0,44.45,44.5,44.0,30019929
2023-02-21,'2882,國泰金,44.25,43.85,44.25,43.55,19076559
2023-02-22,'2882,國泰金,43.45,43.35,43.5,43.15,18259098
2023-02-23,'2882,國泰金,43.25,43.3,43.55,43.2,18234647
2023-02-24,'2882,國泰金,43.3,43.45,43.6,43.2,22159119
2023-03-01,'2882,國泰金,43.35,42.75,43.55,42.6,34074730
