Date,Code,Name,Open,Close,High,Low,Volume
2023-02-01,'2412,中華電,112.5,112.5,113.0,111.5,16944328
2023-02-02,'2412,中華電,112.0,112.0,113.0,111.5,12804247
2023-02-03,'2412,中華電,112.0,113.0,113.5,112.0,9424549
2023-02-06,'2412,中華電,112.5,112.5,113.5,112.0,6529642
2023-02-07,'2412,中華電,113.0,112.5,113.5,112.5,9053359
2023-02-08,'2412,中華電,112.5,112.5,113.0,112.5,11680678
2023-02-09,'2412,中華電,112.5,112.5,113.0,112.0,11603895
2023-02-10,'2412,中華電,112.0,113.0,113.0,112.0,7562109
2023-02-13,'2412,中華電,113.0,113.5,113.5,112.5,7011727
2023-02-14,'2412,中華電,114.0,114.0,114.5,113.0,9828413
2023-02-15,'2412,中華電,114.0,113.5,114.0,113.0,8842450
2023-02-16,'2412,中華電,113.5,114.0,114.5,113.5,7314449
2023-02-17,'2412,中華電,114.0,113.5,114.0,113.5,7814533
2023-02-20,'2412,中華電,114.0,115.0,115.0,113.5,5065190
2023-02-21,'2412,中華電,114.5,114.5,115.0,114.0,2348363
2023-02-22,'2412,中華電,114.5,115.0,115.5,114.0,7347486
2023-02-23,'2412,中華電,115.0,115.5,116.0,114.5,7556467
2023-02-24,'2412,中華電,115.5,115.5,116.0,115.0,11225604
2023-03-01,'2412,中華電,115.5,115.0,115.5,114.5,12267308
2023-03-02,'2412,中華電,115.0,116.5,117.0,115.0,9393511
2023-03-03,'2412,中華電,117.0,117.5,118.0,116.5,5505918
2023-03-06,'2412,中華電,118.0,118.0,119.0,117.5,6778657
2023-03-07,'2412,中華電,118.0,118.5,119.0,117.5,7441643
2023-03-08,'2412,中華電,118.0,119.0,119.0,118.0,9876887
2023-03-09,'2412,中華電,119.0,118.5,119.5,118.0,7700813
2023-03-10,'2412,中華電,118.5,117.5,118.5,117.0,7282463
2023-03-13,'2412,中華電,117.0,119.0,119.5,116.5,12245759
2023-03-14,'2412,中華電,118.0,117.5,118.5,117.5,8326688
2023-03-15,'2412,中華電,118.0,119.0,119.5,118.0,7339595
2023-03-16,'2412,中華電,118.5,119.0,119.5,118.5,5982473
2023-03-17,'2412,中華電,119.0,118.0,119.5,118.0,12591555
2023-03-20,'2412,中華電,118.5,119.0,119.5,118.0,4159865
2023-03-21,'2412,中華電,119.0,118.5,119.5,118.5,3974614
2023-03-22,'2412,中華電,119.0,119.5,119.5,118.5,4248428
2023-03-23,'2412,中華電,119.5,120.0,120.5,119.5,6471204
2023-03-24,'2412,中華電,120.0,119.5,120.5,119.5,5456328
2023-03-27,'2412,中華電,120.0,120.0,120.5,119.5,5465258
2023-03-28,'2412,中華電,120.0,119.5,120.0,119.0,7007110
2023-03-29,'2412,中華電,120.0,120.0,120.0,119.0,6271576
2023-03-30,'2412,中華電,120.0,120.0,120.0,119.5,5251566
2023-03-31,'2412,中華電,120.0,119.5,120.5,119.5,4787286
2023-04-06,'2412,中華電,120.0,120.5,120.5,119.5,9138013
2023-04-07,'2412,中華電,120.5,121.0,121.0,120.0,5158962
2023-04-10,'2412,中華電,121.0,122.5,122.5,121.0,5894121
2023-04-11,'2412,中華電,122.5,123.0,123.0,121.5,9210198
2023-04-12,'2412,中華電,123.0,123.0,124.0,122.5,12492309
2023-04-13,'2412,中華電,123.0,124.0,124.0,122.5,12607601
2023-04-14,'2412,中華電,124.0,124.5,125.0,123.5,11173534
2023-04-17,'2412,中華電,124.5,125.5,125.5,123.5,9056401
2023-04-18,'2412,中華電,125.0,126.0,126.0,125.0,9350920
2023-04-19,'2412,中華電,126.0,124.5,126.0,124.5,7576493
2023-04-20,'2412,中華電,124.5,125.0,125.0,124.0,8924387
2023-04-21,'2412,中華電,124.5,126.0,126.0,124.5,11409564
2023-04-24,'2412,中華電,125.5,126.0,126.5,125.5,6734040
2023-04-25,'2412,中華電,126.0,126.0,126.5,125.5,10247563
2023-04-26,'2412,中華電,126.0,127.0,127.0,125.5,14081467
2023-04-27,'2412,中華電,126.5,126.5,127.0,126.0,9193135
2023-04-28,'2412,中華電,126.5,127.0,127.0,126.0,6766985
2023-05-02,'2412,中華電,126.5,125.5,127.0,125.0,7919515
2023-05-03,'2412,中華電,125.0,125.5,125.5,124.5,4105963
2023-05-04,'2412,中華電,125.0,126.5,126.5,125.0,5747001
2023-05-05,'2412,中華電,126.5,126.5,126.5,125.5,2810613
2023-05-08,'2412,中華電,126.5,126.5,126.5,126.0,4126558
2023-05-09,'2412,中華電,126.0,126.5,126.5,126.0,5167665
2023-05-10,'2412,中華電,126.5,126.0,127.0,125.5,4941058
2023-05-11,'2412,中華電,126.0,126.0,126.0,125.5,4874868
2023-05-12,'2412,中華電,125.5,125.0,125.5,124.5,11563089
2023-05-15,'2412,中華電,124.5,125.5,125.5,124.5,6128217
2023-05-16,'2412,中華電,125.0,126.0,126.0,125.0,6378220
2023-05-17,'2412,中華電,125.5,127.0,127.0,125.5,9922613
2023-05-18,'2412,中華電,126.5,126.5,127.5,126.5,9120815
2023-05-19,'2412,中華電,127.0,127.5,127.5,126.5,7485118
2023-05-22,'2412,中華電,127.0,125.5,127.0,125.0,11770945
2023-05-23,'2412,中華電,125.5,126.5,126.5,125.0,9055148
2023-05-24,'2412,中華電,125.5,126.5,126.5,125.0,9303946
2023-05-25,'2412,中華電,125.5,128.0,128.0,125.0,16178254
2023-05-26,'2412,中華電,126.5,127.0,127.0,125.0,19932434
2023-05-29,'2412,中華電,126.0,126.0,126.5,125.0,17449177
2023-05-30,'2412,中華電,125.5,125.5,126.0,124.5,18412850
2023-05-31,'2412,中華電,125.0,126.0,126.0,124.5,30805993
2023-06-01,'2412,中華電,125.5,125.0,126.0,124.5,9489375
2023-06-02,'2412,中華電,125.0,125.5,126.0,124.5,11674521
2023-06-05,'2412,中華電,125.5,125.0,125.5,125.0,5577131
2023-06-06,'2412,中華電,125.5,125.5,126.0,125.0,9414424
2023-06-07,'2412,中華電,126.0,125.0,126.0,125.0,6803177
2023-06-08,'2412,中華電,125.5,125.0,125.5,125.0,6330386
2023-06-09,'2412,中華電,125.5,125.5,126.0,125.0,6727622
2023-06-12,'2412,中華電,126.0,125.0,126.0,125.0,4206879
2023-06-13,'2412,中華電,125.0,125.5,126.0,125.0,7512052
2023-06-14,'2412,中華電,125.5,125.5,126.0,125.0,6119906
2023-06-15,'2412,中華電,125.5,125.5,126.0,125.0,3977969
2023-06-16,'2412,中華電,125.5,125.5,126.0,125.0,10539400
2023-06-19,'2412,中華電,125.5,125.5,126.0,125.0,6150164
2023-06-20,'2412,中華電,125.5,126.0,126.0,125.0,8229120
2023-06-21,'2412,中華電,125.5,126.0,126.0,125.0,8030994
