Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'1326,台化,75.9,75.4,76.1,74.8,4069404
2022-12-02,'1326,台化,74.8,74.5,75.1,74.3,1833282
2022-12-05,'1326,台化,74.0,74.1,74.7,73.9,1956286
2022-12-06,'1326,台化,74.0,73.9,74.0,73.2,2417081
2022-12-07,'1326,台化,73.9,72.7,73.9,72.7,4113303
2022-12-08,'1326,台化,72.3,71.1,72.4,70.9,3704293
2022-12-09,'1326,台化,70.9,70.9,71.6,70.9,2972487
2022-12-12,'1326,台化,70.9,71.0,71.0,70.3,1758898
2022-12-13,'1326,台化,71.0,70.4,71.5,70.4,3582082
2022-12-14,'1326,台化,71.8,71.5,72.2,70.9,3178225
2022-12-15,'1326,台化,71.0,71.6,72.0,71.0,1604705
2022-12-16,'1326,台化,70.4,70.8,71.4,70.4,5563627
2022-12-19,'1326,台化,70.1,70.4,70.7,70.1,1589859
2022-12-20,'1326,台化,70.1,69.2,70.6,69.2,2736184
2022-12-21,'1326,台化,69.5,69.4,69.8,69.0,1266831
2022-12-22,'1326,台化,69.8,69.9,70.3,69.5,1238950
2022-12-23,'1326,台化,69.0,69.4,69.9,69.0,1688588
2022-12-26,'1326,台化,69.9,70.5,70.5,69.8,1130558
2022-12-27,'1326,台化,70.9,70.8,71.2,70.6,1244240
2022-12-28,'1326,台化,70.0,70.0,70.8,69.5,1223205
2022-12-29,'1326,台化,69.6,69.8,69.9,69.3,2199241
2022-12-30,'1326,台化,70.2,70.5,70.7,70.1,1034088
2023-01-03,'1326,台化,69.9,70.5,71.1,69.2,2710957
2023-01-04,'1326,台化,70.1,70.6,71.0,69.8,2054843
2023-01-05,'1326,台化,70.6,70.9,71.3,70.6,1761079
2023-01-06,'1326,台化,71.2,71.3,71.6,70.9,1761565
2023-01-09,'1326,台化,72.6,73.5,73.5,72.0,5179015
2023-01-10,'1326,台化,73.1,72.5,73.1,72.1,2812747
2023-01-11,'1326,台化,71.9,71.2,72.0,71.2,2909519
2023-01-12,'1326,台化,71.6,71.2,72.0,71.2,2272559
2023-01-13,'1326,台化,72.0,72.4,72.5,71.8,2332423
2023-01-16,'1326,台化,73.0,72.9,73.4,72.4,3389223
2023-01-17,'1326,台化,72.7,72.6,73.0,72.0,3172333
2023-01-30,'1326,台化,74.0,74.0,74.2,72.7,9301676
2023-01-31,'1326,台化,73.8,72.2,74.0,72.2,6035048
2023-02-01,'1326,台化,72.3,72.6,72.8,72.2,2176152
2023-02-02,'1326,台化,72.6,72.0,72.6,71.6,3375198
2023-02-03,'1326,台化,71.6,71.5,71.9,71.2,1853903
2023-02-06,'1326,台化,71.4,71.0,71.5,71.0,2938975
2023-02-07,'1326,台化,71.0,71.3,71.8,71.0,2190558
2023-02-08,'1326,台化,71.2,71.2,71.5,71.0,2023330
2023-02-09,'1326,台化,70.7,70.9,71.3,70.6,2188795
2023-02-10,'1326,台化,70.6,70.9,71.1,70.3,2305086
2023-02-13,'1326,台化,70.9,70.9,71.1,70.4,1839324
2023-02-14,'1326,台化,71.6,71.4,71.9,71.0,1710187
2023-02-15,'1326,台化,71.8,71.0,71.8,70.9,2321843
2023-02-16,'1326,台化,71.1,71.2,71.6,71.0,1548812
2023-02-17,'1326,台化,71.2,71.5,71.5,71.0,997015
2023-02-20,'1326,台化,71.1,71.6,71.7,71.1,1228669
2023-02-21,'1326,台化,71.5,71.6,71.7,71.2,1104494
2023-02-22,'1326,台化,71.3,71.6,71.6,71.0,1780922
2023-02-23,'1326,台化,71.6,71.9,72.2,71.2,2722415
2023-02-24,'1326,台化,72.1,71.2,72.1,71.2,3326307
2023-03-01,'1326,台化,70.6,70.5,71.0,70.4,3314035
2023-03-02,'1326,台化,70.9,70.4,70.9,70.1,2040506
2023-03-03,'1326,台化,70.6,70.6,70.8,70.4,1235553
2023-03-06,'1326,台化,70.5,70.9,71.2,70.2,3664815
2023-03-07,'1326,台化,70.9,70.9,71.0,70.5,1736538
2023-03-08,'1326,台化,70.6,71.1,71.1,70.5,2319207
2023-03-09,'1326,台化,71.0,70.2,71.0,70.2,2818885
2023-03-10,'1326,台化,70.0,69.4,70.0,69.2,5001984
2023-03-13,'1326,台化,69.2,69.1,69.3,68.6,2842902
2023-03-14,'1326,台化,68.6,68.4,69.0,68.3,3525956
2023-03-15,'1326,台化,68.5,68.0,68.7,68.0,2542580
2023-03-16,'1326,台化,67.5,67.5,68.0,67.1,4455796
2023-03-17,'1326,台化,67.6,68.5,69.2,67.3,6035674
2023-03-20,'1326,台化,68.5,68.0,68.5,67.8,1783261
2023-03-21,'1326,台化,68.2,68.1,68.6,68.0,1695970
2023-03-22,'1326,台化,68.5,68.3,68.9,68.2,2353313
2023-03-23,'1326,台化,68.9,69.6,69.7,68.5,3055169
2023-03-24,'1326,台化,69.6,68.8,69.6,68.6,2249036
2023-03-27,'1326,台化,68.8,69.4,69.5,68.7,1600891
2023-03-28,'1326,台化,69.4,69.5,69.6,69.0,1760769
2023-03-29,'1326,台化,69.5,69.8,69.9,69.4,2481389
2023-03-30,'1326,台化,69.9,69.4,69.9,68.9,2347722
2023-03-31,'1326,台化,69.4,69.1,69.8,69.0,2448676
2023-04-06,'1326,台化,69.5,68.8,69.5,68.5,1800936
2023-04-07,'1326,台化,68.9,69.4,69.4,68.8,1147898
2023-04-10,'1326,台化,69.5,69.5,69.8,69.0,1444564
2023-04-11,'1326,台化,69.5,70.0,70.0,69.2,2332719
2023-04-12,'1326,台化,70.0,70.1,70.2,69.7,2363889
2023-04-13,'1326,台化,70.3,70.1,70.3,69.8,1704058
2023-04-14,'1326,台化,70.2,70.2,70.3,69.8,2038155
2023-04-17,'1326,台化,70.2,69.9,70.2,69.4,1984453
2023-04-18,'1326,台化,69.7,69.5,69.9,69.1,1679478
2023-04-19,'1326,台化,69.7,69.2,69.8,68.9,2199034
2023-04-20,'1326,台化,68.8,68.8,68.9,68.5,1476707
2023-04-21,'1326,台化,68.7,69.3,69.3,68.7,1842625
2023-04-24,'1326,台化,69.3,69.4,69.6,68.6,1464436
2023-04-25,'1326,台化,69.4,68.8,69.6,68.5,1968064
2023-04-26,'1326,台化,68.8,69.3,69.4,68.7,2945334
2023-04-27,'1326,台化,69.0,69.0,69.3,68.6,1865990
2023-04-28,'1326,台化,69.2,68.9,69.3,68.9,1635092
2023-05-02,'1326,台化,68.9,69.3,69.3,68.8,1932731
2023-05-03,'1326,台化,69.0,68.8,69.0,68.6,1251810
2023-05-04,'1326,台化,68.6,69.0,69.0,68.6,1124593
2023-05-05,'1326,台化,69.2,69.0,69.2,68.7,670102
2023-05-08,'1326,台化,69.2,68.4,69.3,67.2,3432020
2023-05-09,'1326,台化,68.5,69.4,69.4,68.5,2188034
2023-05-10,'1326,台化,69.0,68.4,69.0,68.0,2751498
2023-05-11,'1326,台化,68.4,67.9,68.4,67.8,1416119
2023-05-12,'1326,台化,67.8,67.4,67.9,67.3,2091820
2023-05-15,'1326,台化,67.2,67.8,67.9,67.0,1370927
2023-05-16,'1326,台化,68.2,69.1,69.1,67.8,3008783
2023-05-17,'1326,台化,69.0,69.7,69.8,68.6,5603042
2023-05-18,'1326,台化,69.5,69.9,69.9,69.3,3481743
2023-05-19,'1326,台化,69.9,70.3,70.3,69.7,4943581
2023-05-22,'1326,台化,70.0,70.0,70.5,69.6,2334825
2023-05-23,'1326,台化,70.0,70.1,70.3,69.6,3930832
2023-05-24,'1326,台化,70.0,70.0,70.0,69.5,2050303
2023-05-25,'1326,台化,69.4,69.3,69.8,69.3,2223389
2023-05-26,'1326,台化,68.6,68.8,69.1,68.2,1906366
2023-05-29,'1326,台化,69.3,69.4,69.5,69.0,2377983
2023-05-30,'1326,台化,69.5,68.6,69.5,68.6,4262641
2023-05-31,'1326,台化,68.6,68.4,69.0,68.4,7581090
2023-06-01,'1326,台化,69.0,68.2,69.1,68.2,1686319
2023-06-02,'1326,台化,68.6,68.7,69.0,68.3,2481514
2023-06-05,'1326,台化,69.0,69.1,69.1,68.7,1413537
2023-06-06,'1326,台化,69.1,69.5,69.6,69.0,3110091
2023-06-07,'1326,台化,69.7,69.5,69.7,69.2,2149923
2023-06-08,'1326,台化,69.4,68.8,69.4,68.7,1444584
2023-06-09,'1326,台化,68.5,69.3,69.4,68.5,2602710
2023-06-12,'1326,台化,69.3,68.8,69.3,68.7,1935456
2023-06-13,'1326,台化,68.7,68.6,69.1,68.6,4136840
2023-06-14,'1326,台化,68.3,68.4,68.6,68.1,2117229
2023-06-15,'1326,台化,68.4,68.4,68.4,68.1,1875708
2023-06-16,'1326,台化,68.1,68.0,68.4,68.0,4671677
2023-06-19,'1326,台化,67.9,67.8,68.1,67.7,3368192
2023-06-20,'1326,台化,68.0,67.9,68.1,67.7,1719075
2023-06-21,'1326,台化,67.9,68.1,68.5,67.7,2387120
2023-06-26,'1326,台化,67.8,67.8,68.1,67.7,2635424
2023-06-27,'1326,台化,67.7,68.1,68.1,67.6,1559679
2023-06-28,'1326,台化,67.8,67.6,68.0,67.6,2525767
2023-06-29,'1326,台化,68.2,67.6,68.3,67.1,3911690
2023-06-30,'1326,台化,67.2,67.1,67.5,67.1,4512751
2023-07-03,'1326,台化,67.2,67.0,67.5,67.0,2902110
2023-07-04,'1326,台化,67.0,66.3,67.0,66.3,4784142
2023-07-05,'1326,台化,66.0,65.6,66.5,65.6,5430109
2023-07-06,'1326,台化,65.1,64.4,65.2,64.3,8932592
2023-07-07,'1326,台化,64.1,63.7,64.2,63.2,5638011
2023-07-10,'1326,台化,63.5,63.6,64.1,63.5,4067442
2023-07-11,'1326,台化,64.0,64.2,64.4,63.9,2602773
2023-07-12,'1326,台化,63.9,64.3,64.5,63.9,2468100
2023-07-13,'1326,台化,64.5,64.1,65.0,64.0,3987954
2023-07-14,'1326,台化,64.4,65.0,65.0,64.3,4592907
2023-07-17,'1326,台化,64.5,64.8,65.0,64.5,1810618
2023-07-18,'1326,台化,64.5,64.4,64.8,64.4,3052203
2023-07-19,'1326,台化,64.3,64.3,64.7,64.3,2805761
2023-07-20,'1326,台化,64.3,64.7,64.7,64.3,2891808
2023-07-21,'1326,台化,64.6,64.1,64.7,64.1,3729739
2023-07-24,'1326,台化,64.7,64.1,64.7,64.1,2787684
2023-07-25,'1326,台化,64.3,64.1,64.3,64.1,2160384
2023-07-26,'1326,台化,64.0,65.4,65.5,64.0,2851476
2023-07-27,'1326,台化,65.4,65.3,65.6,65.2,1633575
2023-07-28,'1326,台化,65.0,65.1,65.6,65.0,1533944
2023-07-31,'1326,台化,65.3,65.4,65.9,65.3,3218415
2023-08-01,'1326,台化,65.6,66.5,66.8,65.6,3410554
2023-08-02,'1326,台化,66.3,65.4,66.5,65.2,4986455
2023-08-04,'1326,台化,65.7,67.0,67.2,65.7,5786738
2023-08-07,'1326,台化,66.9,66.5,67.3,66.5,1960258
2023-08-08,'1326,台化,66.2,65.4,66.5,65.4,3303668
2023-08-09,'1326,台化,66.1,66.2,66.2,65.7,1417037
2023-08-10,'1326,台化,66.2,65.9,66.3,65.8,2488105
2023-08-11,'1326,台化,65.9,65.7,66.2,65.4,2343333
2023-08-14,'1326,台化,65.8,64.6,65.8,64.3,3191357
2023-08-15,'1326,台化,64.6,63.6,64.6,63.3,7090490
