Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'4938,和碩,62.3,61.7,62.3,61.2,6080882
2022-12-02,'4938,和碩,61.1,61.9,62.0,61.1,4174508
2022-12-05,'4938,和碩,61.4,63.5,63.5,61.4,6597352
2022-12-06,'4938,和碩,63.0,63.8,63.8,62.5,5386886
2022-12-07,'4938,和碩,62.7,63.0,63.5,62.7,5163941
2022-12-08,'4938,和碩,63.0,62.2,63.0,62.0,4243153
2022-12-09,'4938,和碩,62.3,63.1,63.1,62.0,3963131
2022-12-12,'4938,和碩,62.2,63.2,63.2,62.0,4339510
2022-12-13,'4938,和碩,63.0,63.2,63.4,62.5,7033490
2022-12-14,'4938,和碩,63.5,63.3,63.8,63.0,5705752
2022-12-15,'4938,和碩,63.5,63.5,63.5,62.9,4640468
2022-12-16,'4938,和碩,62.0,64.0,64.0,62.0,20869308
2022-12-19,'4938,和碩,63.0,63.8,64.0,62.4,19921980
2022-12-20,'4938,和碩,63.3,63.6,64.0,62.9,17677519
2022-12-21,'4938,和碩,63.3,63.7,63.8,62.9,18273573
2022-12-22,'4938,和碩,63.7,64.0,64.7,63.3,16849656
2022-12-23,'4938,和碩,64.0,64.2,64.2,63.3,3317427
2022-12-26,'4938,和碩,64.2,63.8,64.3,63.5,1046643
2022-12-27,'4938,和碩,64.1,63.6,64.1,63.5,1329049
2022-12-28,'4938,和碩,63.3,63.8,63.9,63.2,3090583
2022-12-29,'4938,和碩,63.3,63.8,63.9,63.1,3226124
2022-12-30,'4938,和碩,64.0,63.5,64.0,63.3,2014114
2023-01-03,'4938,和碩,63.2,63.7,63.7,62.8,2590037
2023-01-04,'4938,和碩,63.2,63.5,63.9,63.2,3332614
2023-01-05,'4938,和碩,63.6,63.8,64.0,63.6,2583372
2023-01-06,'4938,和碩,63.8,64.0,64.4,63.7,2775253
2023-01-09,'4938,和碩,64.6,64.8,64.8,64.3,3589459
2023-01-10,'4938,和碩,64.8,64.5,64.8,64.4,2915405
2023-01-11,'4938,和碩,64.4,64.5,64.8,64.4,1857375
2023-01-12,'4938,和碩,64.5,64.5,64.8,64.3,1852979
