Date,Code,Name,Open,Close,High,Low,Volume
2022-12-01,'2301,光寶科,65.7,65.8,65.9,65.1,8140357
2022-12-02,'2301,光寶科,65.8,65.1,65.8,64.8,8251369
2022-12-05,'2301,光寶科,64.9,65.3,65.3,64.3,7478610
2022-12-06,'2301,光寶科,65.3,65.8,66.0,64.8,6895586
2022-12-07,'2301,光寶科,65.2,62.6,65.3,62.6,17428833
2022-12-08,'2301,光寶科,62.6,63.1,63.3,62.1,9733063
2022-12-09,'2301,光寶科,63.5,63.7,63.8,62.6,6741241
2022-12-12,'2301,光寶科,63.2,64.0,64.0,63.2,5718405
2022-12-13,'2301,光寶科,64.0,63.4,64.2,63.2,7178979
2022-12-14,'2301,光寶科,64.1,65.1,65.1,63.7,8147003
2022-12-15,'2301,光寶科,64.9,65.1,65.4,64.4,5600031
2022-12-16,'2301,光寶科,64.2,65.2,65.2,63.9,30914170
2022-12-19,'2301,光寶科,64.8,64.2,65.1,63.7,27315695
2022-12-20,'2301,光寶科,64.2,63.2,64.5,62.8,28037009
2022-12-21,'2301,光寶科,63.0,63.3,63.8,62.9,27943561
2022-12-22,'2301,光寶科,63.9,64.3,64.5,63.4,25503637
2022-12-23,'2301,光寶科,63.5,64.0,64.0,63.1,4677652
2022-12-26,'2301,光寶科,64.3,64.0,64.3,63.7,1395180
2022-12-27,'2301,光寶科,64.3,64.0,64.5,63.8,2311506
2022-12-28,'2301,光寶科,64.0,63.6,64.2,63.3,3280382
2022-12-29,'2301,光寶科,63.5,63.5,63.7,62.8,4669741
2022-12-30,'2301,光寶科,63.8,63.8,64.4,63.7,3058875
2023-01-03,'2301,光寶科,63.8,64.2,64.7,63.7,3480692
2023-01-04,'2301,光寶科,64.4,63.9,64.5,63.9,2607691
2023-01-05,'2301,光寶科,64.2,64.9,65.1,64.2,5079597
2023-01-06,'2301,光寶科,64.8,64.7,65.1,64.5,2370394
2023-01-09,'2301,光寶科,65.5,65.0,65.8,64.8,8695464
2023-01-10,'2301,光寶科,65.2,66.1,66.1,65.2,6600543
2023-01-11,'2301,光寶科,65.7,65.1,66.1,65.1,6182926
2023-01-12,'2301,光寶科,65.1,65.0,65.8,64.7,5890316
2023-01-13,'2301,光寶科,65.4,65.1,65.8,64.6,4280552
2023-01-16,'2301,光寶科,65.2,65.0,65.7,64.7,3190175
2023-01-17,'2301,光寶科,65.0,65.7,65.9,65.0,5486542
2023-01-30,'2301,光寶科,68.9,67.5,68.9,66.0,13511119
2023-01-31,'2301,光寶科,66.9,66.4,67.9,66.0,8303528
2023-02-01,'2301,光寶科,67.0,66.4,67.0,66.1,4470978
2023-02-02,'2301,光寶科,67.1,67.0,67.8,66.6,6231327
2023-02-03,'2301,光寶科,67.1,68.2,68.4,66.7,6372513
2023-02-06,'2301,光寶科,67.5,68.3,68.8,67.5,5858526
2023-02-07,'2301,光寶科,68.7,68.7,68.9,68.1,4577771
2023-02-08,'2301,光寶科,68.9,69.4,69.7,68.9,5231755
2023-02-09,'2301,光寶科,69.2,70.3,70.7,69.1,6884501
2023-02-10,'2301,光寶科,69.9,69.5,70.3,69.2,6071950
2023-02-13,'2301,光寶科,69.2,69.6,69.9,69.1,4170361
2023-02-14,'2301,光寶科,70.0,69.6,70.1,69.3,3500069
2023-02-15,'2301,光寶科,69.9,69.1,70.0,68.8,3489614
2023-02-16,'2301,光寶科,69.4,70.0,70.3,69.3,6360129
2023-02-17,'2301,光寶科,69.6,70.1,70.3,69.5,2653189
2023-02-20,'2301,光寶科,69.7,70.4,70.4,69.7,3736938
2023-02-21,'2301,光寶科,70.0,69.8,70.1,69.7,4696660
2023-02-22,'2301,光寶科,69.6,69.4,70.3,69.1,8849309
2023-02-23,'2301,光寶科,69.5,69.5,70.4,69.3,8074025
2023-02-24,'2301,光寶科,69.5,69.5,69.9,69.2,13851965
